rank,sweep_stage,hostile_rank,title,year,venue,authors,doi,url,openalex_id,cited_by_count,query,relevance_score,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt
624,landscape_1000,,Reinforcement Learning-Based Control Strategy for Multi-Agent Systems Subjected to Actuator Cyberattacks During Affine Formation Maneuvers,2023,IEEE Access,Sami El Ferik; Muhammad Maaruf; Fouad M. AL‐Sunni; Abdul‐Wahid A. Saif; Mujahed Mohammad Al Dhaifallah,https://doi.org/10.1109/access.2023.3296741,https://doi.org/10.1109/access.2023.3296741,https://openalex.org/W4384916378,25,robot manipulator actuator fault tolerant control,27.125,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"In this research, we investigate the reinforcement learning-based control strategy for second-order continuous-time multi-agent systems (MASs) subjected to actuator cyberattacks during affine formation maneuvers. In this case, a long-term performance index is created to track the MASs tracking faults using a leader-follower structure. In order to approximate the ideal solution, which is challenging to find for systems vulnerable to cyberattacks during time-varying maneuvers, a critical neural network is used. The distributed control protocol is"
625,landscape_1000,,Control Strategies for Soft Robotic Manipulators: A Survey,2018,Soft Robotics,Thomas George Thuruthel; Yasmin Ansari; Egidio Falotico; Cecilia Laschi,https://doi.org/10.1089/soro.2017.0007,https://doi.org/10.1089/soro.2017.0007,https://openalex.org/W2782435507,624,robot manipulation underactuated control,27.120,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"With the rise of soft robotics technology and applications, there have been increasing interests in the development of controllers appropriate for their particular design. Being fundamentally different from traditional rigid robots, there is still not a unified framework for the design, analysis, and control of these high-dimensional robots. This review article attempts to provide an insight into various controllers developed for continuum/soft robots as a guideline for future applications in the soft robotics field. A comprehensive assessment "
626,landscape_1000,,Artificial Chattering Free on-line Modified Sliding Mode Algorithm: Applied in Continuum Robot Manipulator,2013,International Journal of Information Engineering and Electronic Business,Mohammad Ebrahimi; Farzin Piltan; Mansour Bazregar; AliReza Nabaee,https://doi.org/10.5815/ijieeb.2013.05.08,https://doi.org/10.5815/ijieeb.2013.05.08,https://openalex.org/W2135131383,24,robot manipulation underactuated control,27.120,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"In this research, an artificial chattering free adaptive fuzzy modified sliding mode control design and application to continuum robotic manipulator has proposed in order to design high performance nonlinear controller in the presence of uncertainties. Regarding to the positive points in sliding mode controller, fuzzy logic controller and online tuning method, the output improves. Each method by adding to the previous controller has covered negative points. The main target in this research is design of model free estimator on-line sliding mode "
627,landscape_1000,,Dynamics Modeling of a Continuum Robotic Arm with a Contact Point in Planar Grasp,2014,Journal of Robotics,Mohammad Dehghani; S. Ali A. Moosavian,https://doi.org/10.1155/2014/308283,https://doi.org/10.1155/2014/308283,https://openalex.org/W2017300555,24,robot manipulation underactuated control,27.120,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Grasping objects by continuum arms or fingers is a new field of interest in robotics. Continuum manipulators have the advantages of high adaptation and compatibility with respect to the object shape. However, due to their extremely nonlinear behavior and infinite degrees of freedom, continuum arms cannot be easily modeled. In fact, dynamics modeling of continuum robotic manipulators is state-of-the-art. Using the exact modeling approaches, such as theory of Cosserat rod, the resulting models are either too much time-taking for computation or nu"
628,landscape_1000,,Experimental Study of Sensor Fault-Tolerant Control for an Electro-Hydraulic Actuator Based on a Robust Nonlinear Observer,2019,Energies,Tan Van Nguyen; Cheolkeun Ha,https://doi.org/10.3390/en12224337,https://doi.org/10.3390/en12224337,https://openalex.org/W2988614902,22,robot manipulator actuator fault tolerant control,27.110,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"Electro-hydraulic actuators (EHAs) have been widely used in modern industries. However, sensor faults and actuator faults in EHA systems can arise due to aging during operation, making the system unstable and unsafe. To solve these issues, fault-tolerant control (FTC) techniques for EHA systems have been studied intensively. In this paper, an FTC is proposed and developed for the mini motion package (MMP) EHA system. First, a mathematical model of the MMP system is formulated and improved to provide position tracking control using a well-known "
629,landscape_1000,,NimbRo Wins ANA Avatar XPRIZE Immersive Telepresence Competition: Human-Centric Evaluation and Lessons Learned,2023,International Journal of Social Robotics,Christian Lenz; Max Schwarz; Andre Rochow; Bastian Pätzold; Raphael Memmesheimer; Michael Schreiber; et al.,https://doi.org/10.1007/s12369-023-01050-9,https://doi.org/10.1007/s12369-023-01050-9,https://openalex.org/W4387375948,21,robot manipulation underactuated control,27.105,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Abstract Robotic avatar systems can enable immersive telepresence with locomotion, manipulation, and communication capabilities. We present such an avatar system, based on the key components of immersive 3D visualization and transparent force-feedback telemanipulation. Our avatar robot features an anthropomorphic upper body with dexterous hands. The remote human operator drives the arms and fingers through an exoskeleton-based operator station, which provides force feedback both at the wrist and for each finger. The robot torso is mounted on a "
630,landscape_1000,,Unfolding the Literature: A Review of Robotic Cloth Manipulation,2024,Annual Review of Control Robotics and Autonomous Systems,Alberta Longhini; Yufei Wang; Irene Garcia-Camacho; David Blanco–Mulero; Marco Moletta; Michael C. Welle; et al.,https://doi.org/10.1146/annurev-control-022723-033252,https://doi.org/10.1146/annurev-control-022723-033252,https://openalex.org/W4404918990,21,quasi static pushing robot manipulation,27.105,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"The realm of textiles spans clothing, households, healthcare, sports, and industrial applications. The deformable nature of these objects poses unique challenges that prior work on rigid objects cannot fully address. The increasing interest within the community in textile perception and manipulation has led to new methods that aim to address challenges in modeling, perception, and control, resulting in significant progress. However, this progress is often tailored to one specific textile or a subcategory of these textiles. To understand what re"
631,landscape_1000,,"A Review of Single-Cell Microrobots: Classification, Driving Methods and Applications",2023,Micromachines,Yuhang Wang; Jun Chen; Guangfei Su; Jiaxi Mei; Junyang Li,https://doi.org/10.3390/mi14091710,https://doi.org/10.3390/mi14091710,https://openalex.org/W4386325101,20,robot manipulation actuator asymmetry,27.100,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"Single-cell microrobots are new microartificial devices that use a combination of single cells and artificial devices, with the advantages of small size, easy degradation and ease of manufacture. With externally driven strategies such as light fields, sound fields and magnetic fields, microrobots are able to carry out precise micromanipulations and movements in complex microenvironments. Therefore, single-cell microrobots have received more and more attention and have been greatly developed in recent years. In this paper, we review the main cla"
632,landscape_1000,,Path-tracking velocity control for robot manipulators with actuator constraints,2017,Mechatronics,Björn Olofsson; Lars Nielsen,https://doi.org/10.1016/j.mechatronics.2017.05.008,https://doi.org/10.1016/j.mechatronics.2017.05.008,https://openalex.org/W2626897017,20,robot manipulation actuator limits torque saturation,27.100,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,
633,landscape_1000,,Reinforcement and Imitation Learning for Diverse Visuomotor Skills,2018,,Yuke Zhu; Ziyu Wang; Josh Merel; Andrei A. Rusu; Tom Erez; Serkan Cabi; et al.,https://doi.org/10.15607/rss.2018.xiv.009,https://doi.org/10.15607/rss.2018.xiv.009,https://openalex.org/W2963713397,217,sim to real robot manipulation dynamics randomization,27.085,"Learn manipulation behavior from data, rewards, demonstrations, or interaction.","Neural policies, imitation, reinforcement learning, visuomotor learning, or learned action models.",The action space can remain the conventional joint/cartesian command vector.,The controller interface and the semantics of positive and negative actuator commands.,Policies that look robust in aggregate but fail on direction-specific weak actions.,Novelty of learning a manipulation policy under dynamics variation.,A non-learning action structure that makes actuator asymmetry explicit before data scale enters.,"We propose a model-free deep reinforcement learning method that leverages a small amount of demonstration data to assist a reinforcement learning agent. We apply this approach to robotic manipulation tasks and train end-to-end visuomotor policies that map directly from RGB camera inputs to joint velocities. We demonstrate that our approach can solve a wide variety of visuomotor tasks, for which engineering a scripted controller would be laborious. In experiments, our reinforcement and imitation agent achieves significantly better performances t"
634,landscape_1000,,"Underactuated hands: Fundamentals, performance analysis and design",2011,Data Archiving and Networked Services (DANS),Gert A. Kragten,,https://openalex.org/W1521361850,https://openalex.org/W1521361850,15,quasi static pushing robot manipulation,27.075,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"There is an emerging need to apply adaptive robotic hands to substitute humans in dangerous, laborious, or monotonous work. The state-of-the-art robotic hands cannot fulfill this need, because they are expensive, hard to control and they consist of many vulnerable motors and sensors. It is aimed to develop simple, adaptive hands that are capable of grasping and holding a large variety of objects. To achieve these properties, the concept of underactuation (i.e. having fewer actuators than independently moving fingers) is applied. First new metri"
635,landscape_1000,,Learning to exploit dynamics for robot motor coordination,2003,ScholarWorks@UMassAmherst (University of Massachusetts Amherst),Michael T. Rosenstein; Andrew G. Barto,,https://openalex.org/W1800611401,https://openalex.org/W1800611401,14,robot manipulation actuator limits torque saturation,27.070,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"Humans exploit dynamicsâgravity, inertia, joint coupling, elasticity, and so onâas a regular part of skillful, coordinated movements. Such movements comprise everyday activities, like reaching and walking, as well as highly practiced maneuvers as used in athletics and the performing arts. Robots, especially industrial manipulators, instead use control schemes that ordinarily cancel the complex, nonlinear dynamics that humans use to their advantage. Alternative schemes from the machine learning and intelligent control communities offer a num"
636,landscape_1000,,Model-Based Control and External Load Estimation of an Extensible Soft Robotic Arm,2021,Frontiers in Robotics and AI,Xiaojiao Chen; Dehao Duanmu; Zheng Wang,https://doi.org/10.3389/frobt.2020.586490,https://doi.org/10.3389/frobt.2020.586490,https://openalex.org/W3128180318,13,quasi static pushing robot manipulation,27.065,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Soft robotics has widely been known for its compliant characteristics when dealing with contraction or manipulation. These soft behavior patterns provide safe and adaptive interactions, greatly relieving the complexity of active control policies. However, another promising aspect of soft robotics, which is to achieve useful information from compliant behavior, is not widely studied. This characteristic could help to reduce the dependence of sensors, gain a better knowledge of the environment, and enrich high-level control strategies. In this pa"
637,landscape_1000,,Efficient learning variable impedance control for industrial robots,2019,Bulletin of the Polish Academy of Sciences Technical Sciences,Chenxuan Li; Zekun Zhang; Guihua Xia; Xinru Xie; Qidan Zhu,https://doi.org/10.24425/bpas.2019.128116,https://doi.org/10.24425/bpas.2019.128116,https://openalex.org/W2973441974,12,robot manipulation actuator limits torque saturation,27.060,Make contact-rich manipulation stable and compliant under uncertain contacts.,"Impedance/admittance control, force feedback, or variable compliance.",The commanded wrench/velocity is realizable symmetrically enough by the actuators.,Directional actuator authority and mode-dependent actuation costs.,Contact strategies that become unstable because one corrective direction is weaker than its opposite.,Novelty of using compliant feedback for manipulation.,A signed feasibility layer that tells compliance policies which corrections are physically cheap.,"Compared with the robots, humans can learn to perform various contact tasks in unstructured environments by modulating arm impedance characteristics. In this article, we consider endowing this compliant ability to the industrial robots to effectively learn to perform repetitive force-sensitive tasks. Current learning impedance control methods usually suffer from inefficiency. This paper establishes an efficient variable impedance control method. To improve the learning efficiency, we employ the probabilistic Gaussian process model as the transi"
638,landscape_1000,,NEXT-GENERATION COLLABORATIVE ROBOTIC SYSTEMS FOR INDUSTRIAL SAFETY AND HEALTH,2017,WIT transactions on the built environment,Nikhil Deshpande; Jesús Ortiz; Ioannis Sarakoglou; Claudio Semini; Nikos G. Tsagarakis; Anais Brygo; et al.,https://doi.org/10.2495/safe170181,https://doi.org/10.2495/safe170181,https://openalex.org/W2792174562,11,robot manipulation actuator asymmetry,27.055,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Occupational Safety and Health (OSH) is defined through three objectives: (i) maintenance of workers' health; (ii) improvement of working environment and safety; and (iii) promotion of a work culture that supports health and safety. In industry, the most frequent threat to workers' health is musculoskeletal disorders. Furthermore, even routine tasks in certain work environments (nuclear, construction, disaster response, marine, chemical, etc.) expose workers to extreme risks like explosions, contaminations, fires, confined spaces, debris, toxic"
639,landscape_1000,,6-DOF Grasping for Target-driven Object Manipulation in Clutter,2020,,Adithyavairavan Murali; Arsalan Mousavian; Clemens Eppner; Chris Paxton; Dieter Fox,https://doi.org/10.1109/icra40945.2020.9197318,https://doi.org/10.1109/icra40945.2020.9197318,https://openalex.org/W2991687685,11,nonprehensile manipulation pushing control,27.055,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Grasping in cluttered environments is a fundamental but challenging robotic skill. It requires both reasoning about unseen object parts and potential collisions with the manipulator. Most existing data-driven approaches avoid this problem by limiting themselves to top-down planar grasps which is insufficient for many real-world scenarios and greatly limits possible grasps. We present a method that plans 6-DOF grasps for any desired object in a cluttered scene from partial point cloud observations. Our method achieves a grasp success of 80.3%, o"
640,landscape_1000,,A Survey on Deep Reinforcement Learning Algorithms for Robotic Manipulation,2023,Sensors,Dong Han; Beni Mulyana; Vladimir Stanković; Samuel Cheng,https://doi.org/10.3390/s23073762,https://doi.org/10.3390/s23073762,https://openalex.org/W4362672763,210,robot manipulation impedance control force control,27.050,"Learn manipulation behavior from data, rewards, demonstrations, or interaction.","Neural policies, imitation, reinforcement learning, visuomotor learning, or learned action models.",The action space can remain the conventional joint/cartesian command vector.,The controller interface and the semantics of positive and negative actuator commands.,Policies that look robust in aggregate but fail on direction-specific weak actions.,Novelty of learning a manipulation policy under dynamics variation.,A non-learning action structure that makes actuator asymmetry explicit before data scale enters.,"Robotic manipulation challenges, such as grasping and object manipulation, have been tackled successfully with the help of deep reinforcement learning systems. We give an overview of the recent advances in deep reinforcement learning algorithms for robotic manipulation tasks in this review. We begin by outlining the fundamental ideas of reinforcement learning and the parts of a reinforcement learning system. The many deep reinforcement learning algorithms, such as value-based methods, policy-based methods, and actor–critic approaches, that have"
641,landscape_1000,,Dynamics and control of free-flying manipulators capturing space objects,1996,eScholarship@McGill (McGill),S. Ali A. Moosavian,https://doi.org/10.82308/14763,https://doi.org/10.82308/14763,https://openalex.org/W3199817910,10,robot manipulation actuator limits torque saturation,27.050,Make contact-rich manipulation stable and compliant under uncertain contacts.,"Impedance/admittance control, force feedback, or variable compliance.",The commanded wrench/velocity is realizable symmetrically enough by the actuators.,Directional actuator authority and mode-dependent actuation costs.,Contact strategies that become unstable because one corrective direction is weaker than its opposite.,Novelty of using compliant feedback for manipulation.,A signed feasibility layer that tells compliance policies which corrections are physically cheap.,"Based on the barycentric vector and direct path approaches, the kinematics of a multiple arm space robotic system is developed, and the differences between the two formulations are discussed. Applying the general Lagrangian formulation, a concise explicit model of the system dynamics is derived, and the specific characteristics of space robotic systems as compared to fixed-base manipulators are discussed. Coordination between a spacecraft and its multiple end-effectors, based on planned trajectories, is investigated in capturing a moving space "
642,landscape_1000,,Force-based organization and control scheme for the non-prehensile cooperative transportation of objects,2023,Robotica,Mario Rosenfelder; Henrik Ebel; Peter Eberhard,https://doi.org/10.1017/s0263574723001704,https://doi.org/10.1017/s0263574723001704,https://openalex.org/W4389920466,9,nonprehensile manipulation pushing control,27.045,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Abstract Over decades of robotics research, cooperative object transportation has been studied as a meaningful model problem for robotic networks because it possesses a variety of crucial challenges. Although these challenges are demanding, the cooperation of multiple robots has the potential to solve automation problems that are beyond the scope of an individual robot. So far, the model problem has mostly been addressed by explicitly controlling the robots’ positions. However, the position-based approach suffers from some intrinsic detriments,"
643,landscape_1000,,Robust Rearrangement Planning Using Nonprehensile Interaction,2016,Research Showcase @ Carnegie Mellon University (Carnegie Mellon University),Jennifer E. King,https://doi.org/10.1184/r1/6721364,https://doi.org/10.1184/r1/6721364,https://openalex.org/W2623503439,7,nonprehensile manipulation pushing control,27.035,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"As we work to move robots out of factories and into human environments, we must empower robots to interact freely in unstructured, cluttered spaces. Humans do this easily, using diverse, whole-arm, nonprehensile actions such as pushing or pulling in everyday tasks. These interaction strategies make difficult tasks easier and impossible tasks possible. In this thesis, we aim to enable robots with similar capabilities. In particular, we formulate methods for planning robust open-loop trajectories that solve the rearrangement planning problem usin"
644,landscape_1000,,Domain Randomization for Transferring Deep Neural Networks from Simulation to the Real World,2017,arXiv (Cornell University),Josh Tobin; Rachel Fong; Alex Ray; Jonas Schneider; Wojciech Zaremba; Pieter Abbeel,https://doi.org/10.48550/arxiv.1703.06907,https://doi.org/10.48550/arxiv.1703.06907,https://openalex.org/W2952606116,206,sim to real robot manipulation dynamics randomization,27.030,Transfer manipulation policies across a gap between simulated and physical dynamics.,"Dynamics randomization, residual adaptation, learned dynamics models, or calibration loops.",The policy can absorb actuator mismatch as another latent dynamics parameter; randomization support includes the relevant sign structure.,The action parameterization and low-level actuator basis.,Structural extrapolation failure when signs share a single symmetric parameter or when weak directions demand different contact modes.,Novelty of saying actuator mismatch hurts sim-to-real.,Whether explicit signed actuator channels outperform treating asymmetry as generic dynamics noise.,"Bridging the 'reality gap' that separates simulated robotics from experiments on hardware could accelerate robotic research through improved data availability. This paper explores domain randomization, a simple technique for training models on simulated images that transfer to real images by randomizing rendering in the simulator. With enough variability in the simulator, the real world may appear to the model as just another variation. We focus on the task of object localization, which is a stepping stone to general robotic manipulation skills"
645,landscape_1000,,Photocharging of Carbon Nitride Thin Films for Controllable Manipulation of Droplet Force Gradient Sensors,2023,Journal of the American Chemical Society,Bradley D. Frank; Markus Antonietti; Paolo Giusto; Lukas Zeininger,https://doi.org/10.1021/jacs.3c09084,https://doi.org/10.1021/jacs.3c09084,https://openalex.org/W4388464478,6,robot manipulation actuator limits torque saturation,27.030,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Intentional generation, amplification, and discharging of chemical gradients is central to many nano- and micromanipulative technologies. We describe a straightforward strategy to direct chemical gradients inside a solution via local photoelectric surface charging of organic semiconducting thin films. We observed that the irradiation of carbon nitride thin films with ultraviolet light generates local and sustained surface charges in illuminated regions, inducing chemical gradients in adjacent solutions via charge-selective immobilization of sur"
646,landscape_1000,,Direction‐cosine‐matrix‐based attitude control subject to actuator saturation,2015,IET Control Theory and Applications,James Richard Forbes,https://doi.org/10.1049/iet-cta.2014.0890,https://doi.org/10.1049/iet-cta.2014.0890,https://openalex.org/W2278111001,6,robot manipulation actuator limits torque saturation,27.030,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"Set‐point attitude control of a rigid body explicitly preventing actuator saturation is considered. The attitude control approach developed does not employ any sort of direction‐cosine‐matrix (DCM) parameterisation, such as Euler angles or quaternions. Rather, the DCM is used directly within the feedback control algorithm. Together a proportional control term and an angular velocity control term make up the attitude controller. The angular velocity control is composed of a strictly positive real system subject to a special input non‐linearity. "
647,landscape_1000,,Maxwell Model-Based Null Space Compliance Control in the Task-Priority Framework for Redundant Manipulators,2020,IEEE Access,Le Fu; Jie Zhao,https://doi.org/10.1109/access.2020.2975125,https://doi.org/10.1109/access.2020.2975125,https://openalex.org/W3008138915,6,robot manipulation actuator limits torque saturation,27.030,Make contact-rich manipulation stable and compliant under uncertain contacts.,"Impedance/admittance control, force feedback, or variable compliance.",The commanded wrench/velocity is realizable symmetrically enough by the actuators.,Directional actuator authority and mode-dependent actuation costs.,Contact strategies that become unstable because one corrective direction is weaker than its opposite.,Novelty of using compliant feedback for manipulation.,A signed feasibility layer that tells compliance policies which corrections are physically cheap.,"Improving robot performance while simultaneously ensuring compliance and human safety has been appealing for a long time and remains a challenge. To this end, we propose a new approach for kinematic control of redundant manipulators to deal with multiple prioritized tasks and at the same time produce a novel compliance behavior in the null space of main task. Different from typical Voigt model based compliance control methods, the compliance control approach proposed in this paper is based on Maxwell model, which shows superior performance on i"
648,landscape_1000,,Rearrangement on Lattices with Swaps: Optimality Structures and Efficient Algorithms,2021,,Jingjin Yu,https://doi.org/10.15607/rss.2021.xvii.014,https://doi.org/10.15607/rss.2021.xvii.014,https://openalex.org/W3174356430,6,nonprehensile manipulation pushing control,27.030,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"We propose and study a class of rearrangement problems under a novel pick-n-swap prehensile manipulation model, in which a robotic manipulator, capable of carrying an item and making item swaps, is tasked to sort items stored in lattices of variable dimensions in a time-optimal manner. We systematically analyze the intrinsic optimality structure, which is fairly rich and intriguing, under different levels of item distinguishability (fully labeled, where each item has a unique label, or partially labeled, where multiple items may be of the same "
649,landscape_1000,,Towards a More Robust Non-Rigid Robotic Joint,2020,Applied System Innovation,Vítor H. Pinto; José Gonçalves; Paulo Costa,https://doi.org/10.3390/asi3040045,https://doi.org/10.3390/asi3040045,https://openalex.org/W3093951416,4,robot manipulation actuator limits torque saturation,27.020,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"The following paper presents an improved, low cost, non-rigid joint that can be used in both robotic manipulators and leg-based traction robotic systems. This joint is an improvement over the previous one presented by the same authors because it is more robust. The design iterations are presented and the final system has been modeled including some nonlinear blocks. A control architecture is proposed that allows compliant control to be used under adverse conditions or in uncontrolled environments. The presented joint is a cost-effective solutio"
